Item,Category,Stock,Daily_Sales,Reorder_Level,Lead_Time_Days
"""While you Were Out"" Message Book, One Form per Page",General,12.0,2.6666666666666665,4.0,6
"#10 Gummed Flap White Envelopes, 100/Box",General,16.5,2.75,5.5,3
#10 Self-Seal White Envelopes,General,15.0,2.5,5.0,6
"#10 White Business Envelopes,4 1/8 x 9 1/2",General,48.0,4.571428571428571,16.0,4
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",General,55.5,3.7,18.5,6
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",General,31.5,2.625,10.5,5
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",General,19.5,6.5,6.5,4
#6 3/4 Gummed Flap White Envelopes,General,13.5,2.25,4.5,3
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",General,21.0,2.3333333333333335,7.0,5
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",General,10.5,3.5,3.5,4
12 Colored Short Pencils,General,12.0,2.6666666666666665,4.0,7
12-1/2 Diameter Round Wall Clock,General,54.0,4.5,18.0,4
14-7/8 x 11 Blue Bar Computer Printout Paper,General,15.0,2.5,5.0,5
2300 Heavy-Duty Transfer File Systems by Perma,General,24.0,4.0,8.0,4
"24 Capacity Maxi Data Binder Racks, Pearl",General,28.5,4.75,9.5,5
24-Hour Round Wall Clock,General,40.5,4.5,13.5,7
3-ring staple pack,General,39.0,4.333333333333333,13.0,4
3.6 Cubic Foot Counter Height Office Refrigerator,General,27.0,3.6,9.0,6
36X48 HARDFLOOR CHAIRMAT,General,31.5,3.5,10.5,4
"3D Systems Cube Printer, 2nd Generation, Magenta",General,16.5,5.5,5.5,3
"3D Systems Cube Printer, 2nd Generation, White",General,4.5,1.5,1.5,5
3M Hangers With Command Adhesive,General,49.5,4.125,16.5,7
3M Office Air Cleaner,General,15.0,5.0,5.0,6
3M Organizer Strips,General,39.0,3.7142857142857144,13.0,7
3M Polarizing Light Filter Sleeves,General,21.0,3.5,7.0,5
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",General,24.0,4.0,8.0,7
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,General,21.0,3.5,7.0,3
4009 Highlighters,General,9.0,6.0,3.0,7
4009 Highlighters by Sanford,General,66.0,5.5,22.0,7
50 Colored Long Pencils,General,21.0,2.8,7.0,7
"6"" Cubicle Wall Clock, Black",General,28.5,4.75,9.5,4
9-3/4 Diameter Round Wall Clock,General,51.0,4.25,17.0,6
"ACCOHIDE 3-Ring Binder, Blue, 1""",General,66.0,3.3846153846153846,22.0,6
ACCOHIDE Binder by Acco,General,31.5,5.25,10.5,5
APC 7 Outlet Network SurgeArrest Surge Protector,General,30.0,2.5,10.0,6
ARKON Windshield Dashboard Air Vent Car Mount Holder,General,21.0,3.5,7.0,4
AT&T 1070 Corded Phone,General,18.0,4.0,6.0,3
AT&T 1080 Corded phone,General,27.0,2.5714285714285716,9.0,4
AT&T 1080 Phone,General,19.5,4.333333333333333,6.5,7
AT&T 17929 Lendline Telephone,General,52.5,3.5,17.5,5
AT&T 841000 Phone,General,42.0,4.0,14.0,7
AT&T CL2909,General,12.0,2.6666666666666665,4.0,5
AT&T CL82213,General,25.5,3.4,8.5,5
AT&T CL83451 4-Handset Telephone,General,15.0,2.5,5.0,6
AT&T EL51110 DECT,General,4.5,3.0,1.5,4
AT&T SB67148 SynJ,General,12.0,2.6666666666666665,4.0,3
AT&T TR1909W,General,22.5,3.75,7.5,5
Aastra 57i VoIP phone,General,39.0,3.7142857142857144,13.0,7
Aastra 6757i CT Wireless VoIP phone,General,24.0,2.6666666666666665,8.0,3
Acco 3-Hole Punch,General,54.0,4.0,18.0,4
Acco 6 Outlet Guardian Basic Surge Suppressor,General,10.5,3.5,3.5,5
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,General,46.5,5.166666666666667,15.5,3
Acco 6 Outlet Guardian Premium Surge Suppressor,General,52.5,4.375,17.5,7
Acco 6 Outlet Guardian Standard Surge Suppressor,General,22.5,3.0,7.5,6
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",General,46.5,4.428571428571429,15.5,4
"Acco Banker's Clasps, 5 3/4""-Long",General,22.5,3.0,7.5,7
"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",General,28.5,3.8,9.5,6
Acco D-Ring Binder w/DublLock,General,46.5,3.4444444444444446,15.5,3
"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",General,58.5,3.9,19.5,6
Acco Economy Flexible Poly Round Ring Binder,General,9.0,1.5,3.0,4
Acco Expandable Hanging Binders,General,16.5,2.75,5.5,4
"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",General,54.0,3.6,18.0,6
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",General,42.0,4.666666666666667,14.0,7
Acco Glide Clips,General,7.5,5.0,2.5,6
Acco Hanging Data Binders,General,25.5,2.4285714285714284,8.5,4
Acco Hot Clips Clips to Go,General,34.5,3.8333333333333335,11.5,4
